Date,Open,High,Low,Close,Adj Close,Volume
2021-07-28,677.900024,687.000000,670.049988,685.049988,683.049988,18367497
2021-07-29,692.500000,692.500000,683.099976,687.500000,687.500000,11043138
2021-07-30,687.000000,687.650024,678.000000,682.500000,682.500000,14536250
2021-08-02,684.049988,688.049988,677.700012,681.400024,681.400024,9348206
2021-08-03,683.000000,691.900024,676.650024,690.400024,690.400024,10162609
2021-08-04,694.000000,717.400024,693.200012,714.650024,714.650024,28730606
2021-08-05,715.500000,716.500000,699.049988,702.450012,702.450012,17774554
2021-08-06,705.049988,706.000000,695.700012,697.650024,697.650024,14701949
2021-08-09,697.400024,706.299988,694.349976,702.849976,702.849976,8602980
2021-08-10,704.099976,708.299988,697.299988,700.900024,700.900024,10843554
2021-08-11,706.250000,707.150024,690.000000,693.549988,693.549988,9748084
2021-08-12,693.500000,702.950012,693.299988,701.349976,701.349976,8840339
2021-08-13,707.049988,709.900024,701.000000,704.799988,704.799988,12787590
2021-08-16,702.400024,707.400024,698.650024,702.650024,702.650024,7920846
2021-08-17,699.799988,702.900024,691.500000,701.200012,701.200012,8669653
2021-08-18,700.849976,700.849976,683.599976,688.299988,688.299988,11069373
2021-08-20,683.849976,684.400024,675.349976,680.700012,680.700012,13121808
2021-08-23,689.950012,689.950012,673.849976,682.700012,682.700012,10917371
2021-08-24,683.250000,697.250000,680.400024,694.450012,694.450012,9821388
2021-08-25,699.950012,700.450012,687.150024,691.049988,691.049988,9535359
2021-08-26,692.049988,701.549988,690.000000,698.799988,698.799988,10756731
2021-08-27,696.099976,700.450012,689.049988,699.750000,699.750000,9135827
2021-08-30,704.500000,715.000000,700.900024,713.650024,713.650024,10797869
2021-08-31,714.000000,719.900024,709.349976,719.049988,719.049988,19760246
2021-09-01,727.599976,734.799988,717.200012,719.900024,719.900024,13729351
2021-09-02,722.299988,728.049988,717.500000,725.150024,725.150024,8627956
2021-09-03,724.750000,731.799988,721.099976,724.299988,724.299988,8993813
2021-09-06,725.400024,728.000000,720.000000,721.150024,721.150024,5329995
2021-09-07,720.900024,722.450012,711.650024,716.900024,716.900024,6242711
